iter	Passed	Remaining
0	1	148
1	2	123
2	3	112
3	4	103
4	5	100
5	6	98
6	7	96
7	8	95
8	9	94
9	10	92
10	11	91
11	12	89
12	13	88
13	14	87
14	15	86
15	16	85
16	17	84
17	18	83
18	19	81
19	20	80
20	21	79
21	22	78
22	23	77
23	24	76
24	25	75
25	26	74
26	26	72
27	28	72
28	29	71
29	30	70
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	56
42	42	55
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	50	47
52	51	46
53	52	45
54	53	43
55	54	42
56	55	42
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	73	25
74	74	24
75	75	23
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	90	8
91	91	7
92	92	6
93	94	6
94	95	5
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
