iter	Passed	Remaining
0	131	130883
1	132	65910
2	133	44259
3	134	33408
4	135	26900
5	136	22563
6	137	19462
7	138	17138
8	139	15327
9	140	13875
10	146	13192
11	148	12200
12	149	11330
13	150	10586
14	151	9936
15	152	9367
16	153	8863
17	154	8415
18	155	8029
19	157	7719
20	159	7419
21	160	7130
22	161	6857
23	162	6607
24	163	6378
25	164	6175
26	166	5990
27	167	5804
28	168	5631
29	169	5469
30	172	5378
31	173	5252
32	174	5122
33	175	4994
34	176	4874
35	177	4760
36	178	4652
37	179	4550
38	180	4452
39	181	4360
40	182	4271
41	185	4222
42	187	4170
43	188	4104
44	190	4032
45	191	3961
46	191	3893
47	192	3827
48	193	3765
49	194	3704
50	195	3645
51	196	3588
52	198	3540
53	199	3501
54	201	3463
55	202	3416
56	203	3370
57	204	3325
58	206	3293
59	207	3253
60	208	3211
61	209	3169
62	210	3129
63	211	3091
64	212	3060
65	214	3038
66	216	3008
67	217	2974
68	218	2941
69	219	2911
70	220	2885
71	221	2861
72	223	2832
73	223	2802
74	224	2774
75	225	2746
76	226	2719
77	228	2703
78	229	2680
79	230	2655
80	231	2630
81	233	2610
82	233	2582
83	234	2561
84	235	2538
85	236	2516
86	237	2495
87	238	2473
88	239	2453
89	240	2432
90	242	2426
91	244	2409
92	245	2390
93	246	2371
94	248	2362
95	249	2346
96	250	2328
97	251	2310
98	251	2292
99	252	2275
100	253	2259
101	254	2243
102	255	2227
103	258	2225
104	259	2212
105	260	2197
106	261	2183
107	262	2168
108	263	2153
109	264	2139
110	265	2125
111	266	2111
112	267	2097
113	268	2084
114	269	2071
115	270	2058
116	271	2045
117	273	2042
118	274	2031
119	275	2020
120	276	2008
121	277	1996
122	278	1985
123	279	1974
124	280	1964
125	281	1954
126	282	1943
127	285	1944
128	287	1937
129	288	1928
130	289	1918
131	290	1909
132	291	1899
133	292	1890
134	293	1881
135	294	1872
136	295	1863
137	297	1855
138	298	1848
139	301	1851
140	303	1852
141	305	1842
142	306	1835
143	307	1827
144	308	1820
145	309	1812
146	316	1838
147	318	1832
148	319	1826
149	321	1819
150	322	1811
151	323	1803
152	324	1795
153	325	1786
154	326	1777
155	329	1780
156	330	1776
157	331	1768
158	332	1760
159	333	1752
160	334	1743
161	335	1735
162	336	1727
163	337	1719
164	338	1711
165	339	1704
166	340	1696
167	341	1688
168	344	1695
169	347	1696
170	348	1690
171	350	1685
172	351	1680
173	353	1675
174	354	1671
175	355	1666
176	363	1688
177	365	1688
178	366	1683
179	368	1678
180	370	1674
181	374	1684
182	376	1682
183	378	1676
184	379	1669
185	380	1663
186	382	1661
187	383	1656
188	384	1650
189	385	1645
190	387	1640
191	388	1636
192	390	1631
193	391	1625
194	392	1619
195	393	1614
196	395	1610
197	396	1605
198	397	1598
199	398	1592
200	399	1586
201	403	1592
202	404	1587
203	405	1582
204	406	1576
205	407	1571
206	408	1565
207	409	1559
208	410	1553
209	411	1548
210	412	1542
211	413	1536
212	417	1542
213	419	1541
214	420	1536
215	422	1532
216	423	1527
217	424	1521
218	425	1515
219	425	1510
220	426	1504
221	427	1499
222	428	1493
223	432	1499
224	433	1494
225	435	1490
226	436	1485
227	437	1481
228	438	1476
229	439	1471
230	440	1466
231	441	1461
232	442	1456
233	443	1450
234	446	1454
235	448	1451
236	449	1447
237	450	1443
238	451	1438
239	452	1434
240	453	1429
241	454	1424
242	455	1419
243	456	1414
244	457	1409
245	458	1405
246	462	1409
247	463	1405
248	464	1401
249	465	1397
250	466	1393
251	467	1388
252	468	1384
253	469	1379
254	470	1374
255	471	1370
256	472	1365
257	473	1361
258	476	1363
259	478	1362
260	480	1359
261	481	1356
262	483	1353
263	484	1349
264	485	1345
265	485	1340
266	486	1336
267	487	1332
268	488	1328
269	493	1333
270	494	1329
271	495	1325
272	496	1322
273	497	1318
274	498	1314
275	499	1310
276	500	1306
277	501	1302
278	502	1298
279	503	1294
280	505	1294
281	507	1290
282	507	1286
283	508	1282
284	509	1279
285	510	1275
286	511	1271
287	512	1267
288	513	1263
289	514	1259
290	515	1255
291	516	1251
292	517	1248
293	521	1252
294	524	1253
295	525	1250
296	526	1247
297	527	1243
298	528	1239
299	529	1235
300	530	1232
301	531	1228
302	532	1224
303	533	1222
304	534	1219
305	535	1215
306	536	1211
307	537	1208
308	538	1204
309	539	1201
310	540	1197
311	541	1194
312	542	1190
313	543	1187
314	544	1183
315	545	1180
316	547	1180
317	549	1178
318	550	1175
319	551	1172
320	552	1168
321	553	1165
322	554	1162
323	555	1158
324	556	1155
325	557	1152
326	558	1149
327	559	1145
328	560	1142
329	564	1145
330	565	1142
331	566	1140
332	568	1138
333	569	1135
334	570	1132
335	571	1128
336	572	1125
337	573	1122
338	574	1119
339	575	1116
340	578	1117
341	579	1114
342	580	1111
343	581	1108
344	582	1105
345	583	1102
346	584	1099
347	585	1096
348	585	1092
349	586	1089
350	587	1086
351	588	1083
352	589	1080
353	591	1078
354	592	1077
355	594	1075
356	595	1072
357	596	1069
358	597	1067
359	599	1065
360	600	1062
361	601	1059
362	602	1056
363	602	1053
364	603	1050
365	604	1047
366	607	1047
367	608	1044
368	609	1042
369	610	1039
370	611	1036
371	612	1033
372	613	1031
373	614	1029
374	615	1026
375	616	1023
376	617	1020
377	618	1017
378	619	1014
379	621	1014
380	623	1012
381	624	1009
382	625	1007
383	626	1004
384	627	1002
385	628	999
386	629	996
387	630	994
388	631	991
389	631	988
390	632	985
391	633	983
392	634	980
393	636	979
394	638	977
395	639	974
396	640	972
397	641	970
398	642	968
399	643	965
400	644	962
401	645	960
402	646	957
403	647	955
404	648	952
405	651	952
406	652	951
407	654	949
408	655	947
409	657	945
410	658	943
411	659	940
412	660	938
413	661	935
414	662	933
415	663	930
416	664	928
417	666	927
418	667	925
419	668	923
420	669	921
421	670	918
422	671	916
423	672	913
424	673	911
425	674	908
426	675	906
427	676	904
428	677	901
429	678	899
430	679	896
431	682	897
432	683	895
433	684	893
434	685	890
435	687	888
436	688	886
437	689	884
438	690	881
439	690	879
440	691	877
441	692	874
442	693	872
443	696	872
444	698	871
445	699	869
446	700	866
447	701	864
448	702	862
449	703	859
450	704	857
451	705	855
452	706	852
453	707	850
454	708	848
455	709	845
456	710	844
457	711	842
458	712	840
459	713	838
460	714	835
461	715	833
462	716	831
463	717	829
464	718	826
465	719	824
466	720	822
467	721	820
468	722	817
469	725	818
470	727	816
471	728	815
472	730	813
473	731	812
474	733	810
475	735	809
476	736	807
477	737	805
478	741	806
479	742	804
480	743	801
481	744	799
482	745	797
483	746	795
484	746	793
485	747	790
486	748	788
487	749	786
488	750	784
489	751	782
490	752	780
491	755	779
492	756	777
493	757	775
494	758	773
495	759	771
496	760	769
497	761	767
498	761	765
499	762	762
500	763	760
501	764	758
502	765	756
503	766	754
504	767	752
505	769	751
506	771	749
507	772	747
508	773	746
509	774	744
510	775	742
511	776	740
512	777	738
513	778	736
514	779	734
515	780	732
516	781	729
517	782	727
518	784	727
519	785	725
520	786	723
521	787	721
522	788	719
523	789	717
524	790	715
525	792	713
526	793	711
527	794	709
528	795	707
529	796	705
530	796	703
531	798	702
532	800	701
533	801	699
534	802	697
535	803	695
536	804	693
537	805	691
538	806	689
539	807	687
540	808	685
541	809	683
542	810	681
543	811	679
544	811	677
545	813	676
546	815	675
547	816	673
548	817	671
549	818	669
550	819	667
551	820	665
552	821	663
553	822	661
554	823	659
555	824	658
556	824	656
557	825	654
558	826	652
559	829	651
560	830	649
561	831	647
562	832	646
563	833	644
564	834	642
565	835	640
566	836	638
567	837	637
568	838	635
569	839	633
570	840	631
571	841	629
572	844	629
573	845	627
574	846	625
575	847	623
576	848	621
577	849	620
578	850	618
579	851	616
580	852	614
581	853	612
582	854	610
583	855	609
584	855	607
585	856	605
586	859	604
587	860	602
588	861	601
589	862	599
590	863	597
591	864	595
592	865	593
593	866	591
594	866	590
595	867	588
596	868	586
597	869	584
598	870	582
599	873	582
600	875	581
601	876	579
602	878	578
603	880	577
604	881	575
605	883	574
606	884	572
607	886	571
608	889	571
609	890	569
610	891	567
611	893	566
612	894	564
613	895	563
614	897	561
615	898	559
616	899	558
617	900	556
618	902	555
619	904	554
620	905	552
621	906	550
622	907	549
623	909	547
624	910	546
625	911	544
626	912	542
627	913	541
628	914	539
629	915	537
630	917	536
631	918	535
632	920	533
633	921	531
634	922	530
635	924	528
636	925	527
637	926	525
638	927	523
639	928	522
640	931	521
641	932	520
642	934	518
643	935	516
644	935	515
645	936	513
646	937	511
647	938	509
648	939	508
649	940	506
650	941	504
651	942	503
652	943	501
653	948	501
654	949	500
655	950	498
656	951	496
657	952	495
658	953	493
659	954	491
660	955	490
661	956	488
662	957	486
663	958	484
664	959	483
665	961	482
666	963	480
667	964	479
668	966	478
669	968	476
670	969	475
671	970	473
672	971	471
673	972	470
674	972	468
675	975	467
676	976	466
677	978	464
678	979	463
679	981	461
680	983	460
681	984	459
682	985	457
683	986	455
684	987	454
685	992	454
686	993	452
687	995	451
688	996	449
689	997	448
690	999	446
691	1000	445
692	1001	443
693	1002	442
694	1003	440
695	1004	438
696	1005	437
697	1009	436
698	1010	435
699	1011	433
700	1012	431
701	1014	430
702	1015	429
703	1016	427
704	1018	426
705	1022	425
706	1023	424
707	1024	422
708	1025	421
709	1026	419
710	1028	418
711	1029	416
712	1031	415
713	1032	413
714	1036	413
715	1038	411
716	1039	410
717	1040	408
718	1041	407
719	1042	405
720	1044	404
721	1045	402
722	1045	400
723	1047	399
724	1049	398
725	1051	396
726	1052	395
727	1053	393
728	1054	392
729	1056	390
730	1057	389
731	1058	387
732	1059	385
733	1060	384
734	1061	382
735	1061	380
736	1063	379
737	1065	378
738	1066	376
739	1067	375
740	1068	373
741	1069	371
742	1070	370
743	1071	368
744	1073	367
745	1074	365
746	1075	364
747	1076	362
748	1077	360
749	1077	359
750	1080	358
751	1081	356
752	1082	355
753	1083	353
754	1084	351
755	1085	350
756	1086	348
757	1089	347
758	1090	346
759	1091	344
760	1093	343
761	1097	342
762	1099	341
763	1100	339
764	1101	338
765	1102	336
766	1104	335
767	1105	333
768	1106	332
769	1107	330
770	1108	329
771	1110	328
772	1112	326
773	1113	325
774	1115	323
775	1116	322
776	1117	320
777	1118	319
778	1119	317
779	1120	316
780	1121	314
781	1122	312
782	1123	311
783	1125	310
784	1127	308
785	1128	307
786	1130	305
787	1131	304
788	1132	302
789	1133	301
790	1135	300
